Estado,Municipio,Colonia,Codigo
CDMX,Álvaro Obregón,Santa Fe Centro Ciudad,1376
CDMX,Álvaro Obregón,Jalalpa El Grande,1377
CDMX,Álvaro Obregón,Antonio Carrillo Flores,1379
CDMX,Álvaro Obregón,Santa Fe Tlayapaca,1389
CDMX,Álvaro Obregón,Olivar del Conde 1a Sección,1400
CDMX,Álvaro Obregón,Preconcreto,1400
CDMX,Álvaro Obregón,Galeana,1407
CDMX,Álvaro Obregón,Olivar del Conde 2a Sección,1408
CDMX,Álvaro Obregón,Palmas,1410
CDMX,Álvaro Obregón,Barrio Norte,1410
CDMX,Álvaro Obregón,Minas Cristo Rey,1419
CDMX,Álvaro Obregón,Sacramento,1420
CDMX,Álvaro Obregón,Santa María Nonoalco,1420
CDMX,Álvaro Obregón,Colina del Sur,1430
CDMX,Álvaro Obregón,Abeto,1440
CDMX,Álvaro Obregón,Unidad Popular Emiliano Zapata,1450
CDMX,Álvaro Obregón,Batallón de San Patricio,1450
CDMX,Álvaro Obregón,Hogar y Redención,1450
CDMX,Álvaro Obregón,Cañada del Olivar,1450
CDMX,Álvaro Obregón,Alfonso XIII,1460
CDMX,Álvaro Obregón,Alfalfar,1470
CDMX,Álvaro Obregón,Molino de Rosas,1470
CDMX,Álvaro Obregón,Lomas de Plateros,1480
CDMX,Álvaro Obregón,La Cascada,1490
CDMX,Álvaro Obregón,Torres de Mixcoac,1490
CDMX,Álvaro Obregón,Miguel Gaona Armenta,1500
CDMX,Álvaro Obregón,Santa Lucia,1500
CDMX,Álvaro Obregón,19 de Mayo,1504
CDMX,Álvaro Obregón,Milpa los Cedros,1505
CDMX,Álvaro Obregón,Arturo Gamiz,1506
CDMX,Álvaro Obregón,Tetlalpan,1507
CDMX,Álvaro Obregón,Ladera Chica,1508
CDMX,Álvaro Obregón,Santa Lucía Chantepec,1509
CDMX,Álvaro Obregón,La Araña,1510
CDMX,Álvaro Obregón,Garcimarrero,1510
CDMX,Álvaro Obregón,Los Cedros,1510
CDMX,Álvaro Obregón,Ampliación Estado de Hidalgo,1520
CDMX,Álvaro Obregón,Ampliación Los Pirules,1520
CDMX,Álvaro Obregón,Estado de Hidalgo,1520
CDMX,Álvaro Obregón,Piru Santa Lucia,1520
CDMX,Álvaro Obregón,El Politoco,1520
CDMX,Álvaro Obregón,Corpus Christy,1530
CDMX,Álvaro Obregón,Universal,1537
CDMX,Álvaro Obregón,Tepopotla,1538
CDMX,Álvaro Obregón,Cooperativa Unión Olivos,1539
CDMX,Álvaro Obregón,Acuilotla,1539
CDMX,Álvaro Obregón,Providencia,1540
CDMX,Álvaro Obregón,Punta de Cehuaya,1540
CDMX,Álvaro Obregón,Llano Redondo,1540
CDMX,Álvaro Obregón,Balcones de Cehuayo,1540
CDMX,Álvaro Obregón,Cehuaya,1540
CDMX,Álvaro Obregón,Villa Progresista,1548
CDMX,Álvaro Obregón,Dos Ríos del Pueblo Santa Lucía,1549
CDMX,Álvaro Obregón,Tepeaca,1550
CDMX,Álvaro Obregón,Ampliación Tepeaca,1550
CDMX,Álvaro Obregón,Rinconada Las Cuevitas,1550
CDMX,Álvaro Obregón,Canutillo 2a Sección,1560
CDMX,Álvaro Obregón,Ave Real,1560
CDMX,Álvaro Obregón,Canutillo,1560
CDMX,Álvaro Obregón,Canutillo 3a Sección,1560
CDMX,Álvaro Obregón,Hueytlale,1566
CDMX,Álvaro Obregón,Tepeaca,1567
CDMX,Álvaro Obregón,Reacomodo Valentín Gómez Farías,1569
CDMX,Álvaro Obregón,Bosques de Tarango,1580
CDMX,Álvaro Obregón,Rancho Casa Blanca,1580
CDMX,Álvaro Obregón,Las Haciendas,1585
CDMX,Álvaro Obregón,Real de Tarango,1586
CDMX,Álvaro Obregón,Misiones de Tarango,1587
CDMX,Álvaro Obregón,Tarango,1588
CDMX,Álvaro Obregón,Lomas de Tarango Reacomodo,1589
CDMX,Álvaro Obregón,El Rincón,1590
CDMX,Álvaro Obregón,Merced Gómez,1600
CDMX,Álvaro Obregón,Sociedad Cooperativa Unión Poder Popular,1600
CDMX,Álvaro Obregón,Profesor J. Arturo López Martínez,1610
CDMX,Álvaro Obregón,Colinas de Tarango,1610
CDMX,Álvaro Obregón,Ex-Hacienda de Tarango,1618
CDMX,Álvaro Obregón,Arcos Centenario,1618
CDMX,Álvaro Obregón,La Martinica,1619
CDMX,Álvaro Obregón,Rinconada de Tarango,1619
CDMX,Álvaro Obregón,Lomas de Tarango,1620
CDMX,Álvaro Obregón,Los Juristas,1630
CDMX,Álvaro Obregón,Lomas de Puerta Grande,1630
CDMX,Álvaro Obregón,Puerta Grande,1630
CDMX,Álvaro Obregón,Belém de las Flores,1630
CDMX,Álvaro Obregón,Heron Proal,1640
CDMX,Álvaro Obregón,Ponciano Arriaga,1645
CDMX,Álvaro Obregón,Palmas Axotitla,1650
CDMX,Álvaro Obregón,La Milagrosa,1650
CDMX,Álvaro Obregón,El Ruedo,1650
CDMX,Álvaro Obregón,Santa Lucía Chantepec,1650
CDMX,Álvaro Obregón,Tlacuitlapa,1650
CDMX,Álvaro Obregón,Ampliación Tlacuitlapa,1650
CDMX,Álvaro Obregón,2o Reacomodo Tlacuitlapa,1650
CDMX,Álvaro Obregón,Tecalcapa del Pueblo Tetelpan,1700
CDMX,Álvaro Obregón,Tetelpan,1700
CDMX,Álvaro Obregón,2a Del Moral del Pueblo de Tetelpan,1700
CDMX,Álvaro Obregón,San Agustín del Pueblo Tetelpan,1700
CDMX,Álvaro Obregón,La Joyita del Pueblo Tetelpan,1700
CDMX,Álvaro Obregón,Ocotillos del Pueblo Tetelpan,1700
CDMX,Álvaro Obregón,El Mirador del Pueblo Tetelpan,1708
CDMX,Álvaro Obregón,El Encino del Pueblo Tetelpan,1708
CDMX,Álvaro Obregón,Ampliación Alpes,1710
CDMX,Álvaro Obregón,Las Águilas,1710
CDMX,Álvaro Obregón,Lomas de Guadalupe,1720
CDMX,Álvaro Obregón,Alcantarilla,1729
CDMX,Álvaro Obregón,Lomas de las Águilas,1730
CDMX,Álvaro Obregón,Puente Colorado,1730
CDMX,Álvaro Obregón,La Peñita del Pueblo Tetelpan,1740
CDMX,Álvaro Obregón,San Clemente Norte,1740
CDMX,Álvaro Obregón,San Clemente Sur,1740
CDMX,Álvaro Obregón,Las Aguilas 2o Parque,1750
CDMX,Álvaro Obregón,Las Aguilas 1a Sección,1750
CDMX,Álvaro Obregón,Las Aguilas 3er Parque,1750
CDMX,Álvaro Obregón,Ampliación Las Aguilas,1759
CDMX,Álvaro Obregón,Flor de Maria,1760
CDMX,Álvaro Obregón,Atlamaya,1760
CDMX,Álvaro Obregón,La Herradura del Pueblo Tetelpan,1760
CDMX,Álvaro Obregón,La Angostura,1770
CDMX,Álvaro Obregón,San José del Olivar,1770
CDMX,Álvaro Obregón,Olivar de los Padres,1780
CDMX,Álvaro Obregón,Tizampampano del Pueblo Tetelpan,1780
CDMX,Álvaro Obregón,El Olivarito,1788
CDMX,Álvaro Obregón,Miguel Hidalgo,1789
CDMX,Álvaro Obregón,Lomas de los Angeles del Pueblo Tetelpan,1790
CDMX,Álvaro Obregón,Lomas de San Ángel Inn,1790
CDMX,Álvaro Obregón,San Bartolo Ameyalco,1800
CDMX,Álvaro Obregón,Rancho San Francisco Pueblo San Bartolo Ameyalco,1807
CDMX,Álvaro Obregón,Villa Verdún,1810
CDMX,Álvaro Obregón,Ejido San Mateo,1820
CDMX,Álvaro Obregón,Lomas Axomiatla,1820
CDMX,Álvaro Obregón,Santa Rosa Xochiac,1830
CDMX,Álvaro Obregón,Torres de Potrero,1840
CDMX,Álvaro Obregón,Rancho del Carmen del Pueblo San Bartolo Ameyalco,1849
CDMX,Álvaro Obregón,Rincón de La Bolsa,1849
CDMX,Álvaro Obregón,Paraje del Caballito,1856
CDMX,Álvaro Obregón,Lomas de Chamontoya,1857
CDMX,Álvaro Obregón,Tlacoyaque,1859
CDMX,Álvaro Obregón,Lomas de La Era,1860
CDMX,Álvaro Obregón,Lomas de los Cedros,1870
CDMX,Álvaro Obregón,Jardines del Pedregal,1900
CDMX,Álvaro Obregón,San Jerónimo Aculco,1904
CDMX,Álvaro Obregón,Rancho Anzaldo y Contreras,1940
CDMX,Álvaro Obregón,Pedregal,1990
CDMX,Azcapotzalco,Centro de Azcapotzalco,2000
CDMX,Azcapotzalco,Delegación Política Azcapotzalco,2008
CDMX,Azcapotzalco,Nuevo Barrio San Rafael,2010
CDMX,Azcapotzalco,Los Reyes,2010
CDMX,Azcapotzalco,San Rafael,2010
CDMX,Azcapotzalco,San Marcos,2020
CDMX,Azcapotzalco,Santo Tomas,2020
CDMX,Azcapotzalco,San Sebastián,2040
CDMX,Azcapotzalco,Del Maestro,2040
CDMX,Azcapotzalco,Wake,2050
CDMX,Azcapotzalco,Libertad,2050
CDMX,Azcapotzalco,Santa Maria Malinalco,2050
CDMX,Azcapotzalco,Sindicato Mexicano de Electricistas,2060
CDMX,Azcapotzalco,Un Hogar Para Cada Trabajador,2060
CDMX,Azcapotzalco,Del Recreo,2070
CDMX,Azcapotzalco,Palestina,2070
CDMX,Azcapotzalco,Nextengo,2070
CDMX,Azcapotzalco,Nextengo,2070
CDMX,Azcapotzalco,Azcapotzalco,2070
CDMX,Azcapotzalco,Clavería,2080
CDMX,Azcapotzalco,Sector Naval,2080
CDMX,Azcapotzalco,San Álvaro,2090
CDMX,Azcapotzalco,Angel Zimbron,2099
CDMX,Azcapotzalco,Los Oyameles,2100
CDMX,Azcapotzalco,El Rosario,2100
CDMX,Azcapotzalco,CROC 6 Olimpia,2109
CDMX,Azcapotzalco,Manuel Rivera Anaya CROC 1,2109
CDMX,Azcapotzalco,Ecológica Novedades Impacto,2110
CDMX,Azcapotzalco,San Pablo Xalpa,2110
CDMX,Azcapotzalco,San Martín Xochinahuac,2120
CDMX,Azcapotzalco,San Martín Xochinahuac,2125
CDMX,Azcapotzalco,Tepantongo,2127
